0,1,2,3,4,5,6,7,8,9
1724.436256662537,972.2092132577656,639.4057222314249,522.08188599757,501.9409221220354,494.81923526819065,494.05204000034854,488.8224463026966,488.8224463026966,488.8224463026966
1741.9568907291332,1133.3613431179551,585.4942530617208,548.484479886569,532.4172230505327,529.2263168563554,503.9748064271887,500.93321184839635,500.93321184839635,500.93321184839635
1741.9568907291332,1052.8123185748411,558.6517710233463,508.4261056729116,496.8097137746479,484.1877669534954,484.1877669534954,484.1877669534954,484.1877669534954,484.1877669534954
1741.9568907291332,1070.6760740697475,582.0436015282221,526.8826846164434,485.1188635149448,485.1188635149448,485.1188635149448,485.1188635149448,485.1188635149448,485.1188635149448
1741.9568907291332,996.5152347939382,645.3433350849801,577.430987734339,543.7029488810696,530.7625514324272,530.7625514324271,530.7625514324271,530.7625514324271,530.7625514324271
1710.8041293411886,1018.862867792071,611.8074116388811,507.0468112296834,491.85773351598084,491.85773351598084,491.85773351598084,491.85773351598084,491.85773351598084,491.85773351598084
1706.5327992364564,986.5231207147531,610.2722864783184,541.804103500325,494.7163846365744,480.6303822329072,480.6303822329072,480.6303822329072,480.6303822329072,480.6303822329072
1741.9568907291332,992.4739253295506,593.6328311312195,578.5151964182659,539.2678224191803,492.72651937807666,492.72651937807666,492.72651937807666,492.72651937807666,492.72651937807666
1729.5448865810388,1038.0463758336848,575.1211350068498,526.3946981484535,525.0637611778194,520.4040715403364,518.409581057353,518.409581057353,513.7788979342059,513.7788979342059
1735.7729305521796,926.1696786145986,580.2023306913729,551.4085180870935,520.314780044137,501.09755993915735,501.09755993915735,501.09755993915735,501.09755993915735,501.09755993915735
